text,audio_path,start_time,end_time,duration
"انهارت البيوت على رؤوس الناس هناك
ومات عدد كبير منهم، ولدي أخت تعيش هناك",dataset\audio\segment_0189.wav,877.0,880.75,3.75
هناك تعيش عمتي ماماس,dataset\audio\segment_0190.wav,880.75,882.75,2.0
قلت لكم بأني شعرت باهتزاز الأرض,dataset\audio\segment_0191.wav,883.25,885.75,2.5
اسمعوا سأذهب لتفقد أحوال عمتي إن كان أصابها مكروه,dataset\audio\segment_0192.wav,886.0,889.0,3.0
هل تعرفون الطريق إلى أيت مافاوال؟,dataset\audio\segment_0193.wav,889.25,890.75,1.5
بابا علي نعرف طريق أيت مافاوال,dataset\audio\segment_0194.wav,890.75,893.5,2.75
سنوصل هؤلاء حتى البلدة اذهب أنت إلى غايتك,dataset\audio\segment_0195.wav,894.0,896.5,2.5
سنلتقي هناك لقاؤنا هناك، هيا,dataset\audio\segment_0196.wav,896.5,898.75,2.25
يعني أن الزلزال الذي وصلنا,dataset\audio\segment_0197.wav,906.0,907.75,1.75
امتد حتى جبل درن -,dataset\audio\segment_0198.wav,908.25,909.5,1.25
نعم سيدتي,dataset\audio\segment_0199.wav,909.5,911.25,1.75
رحم الله الضحايا الذين ماتوا,dataset\audio\segment_0200.wav,911.75,914.0,2.25
أمين رحمهم الله جميعا,dataset\audio\segment_0201.wav,914.5,917.0,2.5
حسنا، أعانك الله,dataset\audio\segment_0202.wav,917.25,918.25,1.0
مع السلامة سيدتي,dataset\audio\segment_0203.wav,918.5,919.5,1.0
سيدتي داميا,dataset\audio\segment_0204.wav,925.25,926.0,0.75
وصلتك رسالة أخرى من سيدتي تيهيا,dataset\audio\segment_0205.wav,926.25,928.25,2.0
داميا بعثت إليك أناسا تولى أمورهم,dataset\audio\segment_0206.wav,945.5,948.75,3.25
إلى أن أحل مشكلا في بلدتهم,dataset\audio\segment_0207.wav,949.25,951.75,2.5
لطفك يا رب توالت علينا المشاكل,dataset\audio\segment_0208.wav,952.25,955.0,2.75
القاضي أناروز ذراعي الأيمن خطفه الداغور وعصابته,dataset\audio\segment_0209.wav,955.75,960.25,4.5
وحده الله يعلم مصيره,dataset\audio\segment_0210.wav,960.5,962.25,1.75
أدعو الله أن يحل الأمر,dataset\audio\segment_0211.wav,963.0,964.75,1.75
"أما أنا بكل صراحة فقد حرت في ا
أمري",dataset\audio\segment_0212.wav,965.25,967.5,2.25
حملا ثقيلا وأشعر أني سأنهار يا صديقتي,dataset\audio\segment_0213.wav,968.0,972.5,4.5
شكرا,dataset\audio\segment_0214.wav,973.25,973.75,0.5
A,dataset\audio\segment_0215.wav,974.25,974.75,0.5
ما الذي وقع؟ هل من بأس؟,dataset\audio\segment_0216.wav,975.0,976.75,1.75
سيدتي تيهيا في أزمة,dataset\audio\segment_0217.wav,978.75,980.25,1.5
لم يسبق أن استغاثت مثل اليوم لو لم يكن الأمر جلل,dataset\audio\segment_0218.wav,981.25,985.25,4.0
أناروز الذي كان يدعمها خطفه الداغور,dataset\audio\segment_0219.wav,986.75,989.25,2.5
يجب أن أدعمها إلى حين عودة الحاكم,dataset\audio\segment_0220.wav,990.0,992.5,2.5
نحن جاهزون يا سيدتي وطوع أمرك,dataset\audio\segment_0221.wav,993.5,996.0,2.5
قبيلة أيت مافاوال تشتهر بالقتال,dataset\audio\segment_0222.wav,996.25,1000.0,3.75
ولم يسبق أن هزمهم أحد,dataset\audio\segment_0223.wav,1001.0,1002.25,1.25
ويشهد لهم ببسالتهم في كل مكان,dataset\audio\segment_0224.wav,1003.0,1004.75,1.75
"ساجمعهم جميعا وسأدخلهم الغابة
ولن يعودوا حتى يقطعوا رؤوسهم جميعا",dataset\audio\segment_0225.wav,1005.25,1010.0,4.75
إذا سأنادي على البراح لكي يجمعهم لتحدثيهم,dataset\audio\segment_0226.wav,1010.25,1013.25,3.0
لا ليس الآن سأستشيرها أولا إن كانت ستقبل مساعدتي,dataset\audio\segment_0227.wav,1014.0,1019.5,5.5
حاضر يا سيدتي حاضر,dataset\audio\segment_0228.wav,1019.75,1021.75,2.0
مهمتك الآن هي إحصاء البيوت الخالية في البلدة,dataset\audio\segment_0229.wav,1023.75,1027.75,4.0
"سترسل لي سيدتي تبهيا ضيوفا
سأساعدهم إلى حين تدبرت لهم حلا",dataset\audio\segment_0230.wav,1028.25,1032.75,4.5
حاضر سيدتي,dataset\audio\segment_0231.wav,1033.5,1034.5,1.0
الحين,dataset\audio\segment_0232.wav,1036.0,1037.0,1.0
بيناغان,dataset\audio\segment_0233.wav,1072.25,1073.75,1.5
قال الشاعر,dataset\audio\segment_0234.wav,1085.0,1086.75,1.75
وقعت يا بيناغان في يوم لا ينفعك شيء مهما فعلت ليخلصك مني,dataset\audio\segment_0235.wav,1087.75,1095.25,7.5
أتعلم يا قاضي أنك ستدفع ثمن كل أفعالك وما اقترفت في حقي,dataset\audio\segment_0236.wav,1097.75,1106.75,9.0
أخبرني يا قاضي أريد أن أسالك,dataset\audio\segment_0237.wav,1110.25,1113.75,3.5
"1
ما هو شعورك و أنت بين يدي سيدك الداغور؟",dataset\audio\segment_0238.wav,1114.75,1119.75,5.0
أنا بين يدي الله,dataset\audio\segment_0239.wav,1124.75,1127.75,3.0
أما الداغور أو غيره,dataset\audio\segment_0240.wav,1129.75,1131.5,1.75
فلا يستطيع شيئا أمام قضاء وقدر خالقي,dataset\audio\segment_0241.wav,1133.75,1136.5,2.75
أحسنت يا قاضي,dataset\audio\segment_0242.wav,1137.5,1139.0,1.5
لازلت تحسن الكلام,dataset\audio\segment_0243.wav,1140.5,1142.25,1.75
رغم رعشة ركبك من رهبة الذي يطلق عليه الموت,dataset\audio\segment_0244.wav,1143.0,1147.75,4.75
لن تخيفني بالموت أو برهبته,dataset\audio\segment_0245.wav,1152.75,1155.5,2.75
هذا سيفك,dataset\audio\segment_0246.wav,1158.25,1159.5,1.25
وهذا عنقي بين يديك,dataset\audio\segment_0247.wav,1162.5,1164.25,1.75
اقطعه,dataset\audio\segment_0248.wav,1164.75,1166.0,1.25
لأني أعلم أنه لن يصيبني إلا ما كتب لي,dataset\audio\segment_0249.wav,1169.75,1174.5,4.75
المسكين,dataset\audio\segment_0250.wav,1177.75,1180.5,2.75
يريد أن يموت,dataset\audio\segment_0251.wav,1181.75,1183.5,1.75
تريد أن ترتاح,dataset\audio\segment_0252.wav,1184.5,1185.75,1.25
لا يا قاضي,dataset\audio\segment_0253.wav,1187.25,1188.75,1.5
لازلت أمامك سنتين من العذاب و الجوع ومن الألم والعطش,dataset\audio\segment_0254.wav,1191.5,1199.25,7.75
حتى تموت ببطء وتلقى حتفك,dataset\audio\segment_0255.wav,1200.5,1204.75,4.25
معذرة، أعتذر منك يا سيدي القاضي,dataset\audio\segment_0256.wav,1209.5,1214.75,5.25
أعتذر منك فرغم أنكم أذقتموني مرارة الجوع والعطش,dataset\audio\segment_0257.wav,1216.5,1221.75,5.25
إلا أني لا أشبهكم,dataset\audio\segment_0258.wav,1222.25,1224.25,2.0
فقلبي حنون,dataset\audio\segment_0259.wav,1225.0,1226.5,1.5
تفضل,dataset\audio\segment_0260.wav,1228.25,1229.0,0.75
وتناول قليلا من اللحم,dataset\audio\segment_0261.wav,1229.75,1231.25,1.5
تفضل,dataset\audio\segment_0262.wav,1232.0,1233.0,1.0
بسم الله,dataset\audio\segment_0263.wav,1233.0,1234.5,1.5
ألم أقل لك بأن قلبي حنون,dataset\audio\segment_0264.wav,1247.0,1250.25,3.25
يا للهول يا أناروز يبدو أن هذه نهايتك,dataset\audio\segment_0265.wav,1275.25,1278.5,3.25
لم أكن أتمنى أن تنتهي حياتي هكذا,dataset\audio\segment_0266.wav,1281.25,1283.5,2.25
الكن,dataset\audio\segment_0267.wav,1285.25,1286.0,0.75
